time,record,u,v,w,Tsonica,coderr,voltaje
2012-01-04 01:00:03.35,36882467.0,-0.95,-0.99,-0.07,13.61,0.0,12.0
2012-01-04 01:00:03.4,36882468.0,-0.92,-1.04,-0.07,13.63,0.0,12.0
2012-01-04 01:00:03.45,36882469.0,-0.87,-1.05,-0.13,13.58,0.0,12.0
2012-01-04 01:00:03.5,36882470.0,-0.81,-1.12,-0.17,13.58,0.0,12.0
2012-01-04 01:00:03.55,36882471.0,-0.75,-0.99,-0.19,13.64,0.0,12.0
2012-01-04 01:00:03.6,36882472.0,-0.78,-0.85,-0.23,13.58,0.0,12.0
2012-01-04 01:00:03.65,36882473.0,-0.81,-0.92,-0.39,13.51,0.0,12.0
2012-01-04 01:00:03.7,36882474.0,-0.82,-0.93,-0.35,13.47,0.0,12.0
2012-01-04 01:00:03.75,36882475.0,-0.97,-0.73,-0.38,13.47,0.0,12.0
2012-01-04 01:00:03.8,36882476.0,-1.01,-0.78,-0.46,13.44,0.0,12.0
2012-01-04 01:00:03.85,36882477.0,-1.11,-0.81,-0.39,13.47,0.0,12.0
2012-01-04 01:00:03.9,36882478.0,-1.28,-0.75,-0.29,13.44,0.0,12.0
2012-01-04 01:00:03.95,36882479.0,-1.35,-0.69,-0.19,13.42,0.0,12.0
2012-01-04 01:00:04,36882480.0,-1.09,-0.62,-0.04,13.42,0.0,12.0
2012-01-04 01:00:04.05,36882481.0,-1.12,-0.71,-0.16,13.42,0.0,12.0
2012-01-04 01:00:04.1,36882482.0,-1.15,-0.79,-0.07,13.39,0.0,12.0
2012-01-04 01:00:04.15,36882483.0,-1.13,-0.85,-0.03,13.39,0.0,12.0
2012-01-04 01:00:04.2,36882484.0,-1.21,-0.88,-0.08,13.42,0.0,12.0
2012-01-04 01:00:04.25,36882485.0,-1.15,-0.89,-0.08,13.51,0.0,12.0
2012-01-04 01:00:04.3,36882486.0,-1.21,-0.93,-0.22,13.61,0.0,12.0
2012-01-04 01:00:04.35,36882487.0,-1.21,-0.93,-0.22,13.61,0.0,12.0
2012-01-04 01:00:04.4,36882488.0,-1.2,-0.82,-0.29,13.63,0.0,12.0
2012-01-04 01:00:04.45,36882489.0,-1.29,-0.82,-0.35,13.63,0.0,12.0
2012-01-04 01:00:04.5,36882490.0,-1.17,-0.79,-0.33,13.71,0.0,12.0
2012-01-04 01:00:04.55,36882491.0,-1.22,-0.87,-0.43,13.83,0.0,12.0
2012-01-04 01:00:04.6,36882492.0,-1.11,-0.86,-0.39,13.83,0.0,12.0
2012-01-04 01:00:04.65,36882493.0,-1.16,-0.96,-0.4,13.74,0.0,12.0
2012-01-04 01:00:04.7,36882494.0,-1.06,-1.06,-0.44,13.74,0.0,12.0
2012-01-04 01:00:04.75,36882495.0,-1.01,-1.04,-0.35,13.69,0.0,12.0
2012-01-04 01:00:04.8,36882496.0,-0.98,-1.04,-0.33,13.71,0.0,12.0
2012-01-04 01:00:04.85,36882497.0,-0.98,-1.04,-0.33,13.71,0.0,12.0
2012-01-04 01:00:04.9,36882498.0,-1.02,-1.14,-0.27,13.71,0.0,12.0
