time,record,u,v,w,Tsonica,coderr,voltaje
2012-01-04 01:29:59.85,36918263.0,-0.18,-0.98,0.37,13.17,0.0,12.0
2012-01-04 01:29:59.9,36918264.0,-0.13,-1.09,0.25,13.1,0.0,12.0
2012-01-04 01:29:59.95,36918265.0,-0.18,-0.99,0.16,13.1,0.0,12.0
2012-01-04 01:30:00,36918266.0,-0.2,-0.94,0.11,13.05,0.0,12.0
2012-01-04 01:30:00.05,36918267.0,-0.14,-1.04,0.05,13.02,0.0,12.0
2012-01-04 01:30:00.1,36918268.0,-0.17,-1.01,0.05,13.04,0.0,12.0
2012-01-04 01:30:00.15,36918269.0,-0.18,-0.97,0.0,12.99,0.0,12.0
2012-01-04 01:30:00.2,36918270.0,-0.07,-1.0,-0.03,13.19,0.0,12.0
2012-01-04 01:30:00.25,36918271.0,-0.13,-0.98,-0.03,13.37,0.0,12.0
2012-01-04 01:30:00.3,36918272.0,-0.35,-1.06,-0.26,13.52,0.0,12.0
2012-01-04 01:30:00.35,36918273.0,-0.28,-1.05,-0.39,13.52,0.0,12.0
2012-01-04 01:30:00.4,36918274.0,-0.46,-0.98,-0.37,13.58,0.0,12.0
2012-01-04 01:30:00.45,36918275.0,-0.55,-1.02,-0.31,13.61,0.0,12.0
2012-01-04 01:30:00.5,36918276.0,-0.59,-1.04,-0.25,13.56,0.0,12.0
2012-01-04 01:30:00.55,36918277.0,-0.57,-1.0,-0.35,13.49,0.0,12.0
2012-01-04 01:30:00.6,36918278.0,-0.58,-1.1,-0.44,13.52,0.0,12.0
2012-01-04 01:30:00.65,36918279.0,-0.55,-1.04,-0.37,13.52,0.0,12.0
2012-01-04 01:30:00.7,36918280.0,-0.59,-1.04,-0.25,13.56,0.0,12.0
2012-01-04 01:30:00.75,36918281.0,-0.65,-0.9,-0.27,13.52,0.0,12.0
2012-01-04 01:30:00.8,36918282.0,-0.74,-0.9,-0.19,13.52,0.0,12.0
2012-01-04 01:30:00.85,36918283.0,-0.63,-0.87,-0.22,13.52,0.0,12.0
2012-01-04 01:30:00.9,36918284.0,-0.61,-0.93,-0.31,13.51,0.0,12.0
2012-01-04 01:30:00.95,36918285.0,-0.6,-1.02,-0.21,13.51,0.0,12.0
2012-01-04 01:30:01,36918286.0,-0.55,-0.97,-0.3,13.56,0.0,12.0
2012-01-04 01:30:01.05,36918287.0,-0.56,-1.03,-0.23,13.52,0.0,12.0
2012-01-04 01:30:01.1,36918288.0,-0.69,-1.25,-0.13,13.52,0.0,12.0
2012-01-04 01:30:01.15,36918289.0,-0.53,-1.07,-0.27,13.51,0.0,12.0
2012-01-04 01:30:01.2,36918290.0,-0.63,-1.0,-0.23,13.47,0.0,12.0
