time,record,u,v,w,Tsonica,coderr,voltaje
2012-01-04 00:29:59.85,36846531.0,-0.68,-0.94,0.06,14.88,0.0,12.0
2012-01-04 00:29:59.9,36846532.0,-0.52,-1.07,0.21,14.86,0.0,12.0
2012-01-04 00:29:59.95,36846533.0,-0.6,-1.28,0.18,14.86,0.0,12.0
2012-01-04 00:30:00,36846534.0,-0.51,-1.4,0.18,14.84,0.0,12.0
2012-01-04 00:30:00.05,36846535.0,-0.59,-1.35,0.12,14.88,0.0,12.0
2012-01-04 00:30:00.1,36846536.0,-0.45,-1.34,0.1,14.88,0.0,12.0
2012-01-04 00:30:00.15,36846537.0,-0.33,-1.41,0.12,14.86,0.0,12.0
2012-01-04 00:30:00.2,36846538.0,-0.44,-1.3,0.17,14.88,0.0,12.0
2012-01-04 00:30:00.25,36846539.0,-0.4,-1.26,0.12,14.91,0.0,12.0
2012-01-04 00:30:00.3,36846540.0,-0.41,-1.22,0.09,14.84,0.0,12.0
2012-01-04 00:30:00.35,36846541.0,-0.41,-1.35,0.29,14.86,0.0,12.0
2012-01-04 00:30:00.4,36846542.0,-0.24,-1.24,0.44,14.94,0.0,12.0
2012-01-04 00:30:00.45,36846543.0,-0.24,-1.18,0.39,14.99,0.0,12.0
2012-01-04 00:30:00.5,36846544.0,-0.37,-1.41,0.28,15.05,0.0,12.0
2012-01-04 00:30:00.55,36846545.0,-0.34,-1.43,0.17,15.05,0.0,12.0
2012-01-04 00:30:00.6,36846546.0,-0.41,-1.36,0.39,14.99,0.0,12.0
2012-01-04 00:30:00.65,36846547.0,-0.3,-1.45,0.28,15.05,0.0,12.0
2012-01-04 00:30:00.7,36846548.0,-0.46,-1.53,0.44,15.05,0.0,12.0
2012-01-04 00:30:00.75,36846549.0,-0.51,-1.41,0.53,15.03,0.0,12.0
2012-01-04 00:30:00.8,36846550.0,-0.77,-1.4,0.65,15.05,0.0,12.0
2012-01-04 00:30:00.85,36846551.0,-1.0,-1.23,0.66,15.01,0.0,12.0
2012-01-04 00:30:00.9,36846552.0,-1.03,-1.1,0.55,14.99,0.0,12.0
2012-01-04 00:30:00.95,36846553.0,-1.17,-1.16,0.53,14.99,0.0,12.0
2012-01-04 00:30:01,36846554.0,-1.45,-0.97,0.04,14.94,0.0,12.0
2012-01-04 00:30:01.05,36846555.0,-1.4,-1.16,-0.2,14.99,0.0,12.0
2012-01-04 00:30:01.1,36846556.0,-1.32,-1.04,-0.19,14.94,0.0,12.0
2012-01-04 00:30:01.15,36846557.0,-1.16,-0.96,-0.32,14.94,0.0,12.0
2012-01-04 00:30:01.2,36846558.0,-1.18,-0.94,-0.39,15.03,0.0,12.0
2012-01-04 00:30:01.25,36846559.0,-1.1,-1.04,-0.34,14.96,0.0,12.0
2012-01-04 00:30:01.3,36846560.0,-1.14,-0.94,-0.36,14.99,0.0,12.0
