"TOA5","42214","CR1000","42214","CR1000.Std.22","CPU:MAIZ_PIPE_SLOWSEQ_visto_corto.CR1","14486","Table2"
"TIMESTAMP","RECORD","u","v","w","Tsonica","coderr","vol"
"TS","RN","m/s","m/s","m/s","Deg C","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-01-04 12:27:21",37704148.00,3.50,-1.29,-1.18,27.58,0.00,14.90
"2012-01-04 12:27:21.05",37704149.00,3.52,-1.17,-1.13,27.58,0.00,14.90
"2012-01-04 12:27:21.1",37704150.00,3.73,-1.18,-0.49,27.61,0.00,14.90
"2012-01-04 12:27:21.15",37704151.00,3.48,-1.16,-0.14,27.84,0.00,14.90
"2012-01-04 12:27:21.2",37704152.00,3.58,-0.94,-0.18,27.87,0.00,14.90
"2012-01-04 12:27:21.25",37704153.00,3.54,-0.88,-0.32,27.96,0.00,14.90
"2012-01-04 12:27:21.3",37704154.00,3.06,-1.33,-0.34,28.01,0.00,14.90
"2012-01-04 12:27:21.35",37704155.00,2.62,-1.44,-0.37,28.02,0.00,14.90
"2012-01-04 12:27:21.4",37704156.00,2.67,-1.26,-0.35,28.10,0.00,14.90
"2012-01-04 12:27:21.45",37704157.00,3.16,-1.33,-0.44,28.18,0.00,14.90
"2012-01-04 12:27:21.5",37704158.00,3.09,-1.24,-0.47,28.15,0.00,14.90
"2012-01-04 12:27:21.55",37704159.00,3.15,-1.26,-1.02,28.20,0.00,14.90
"2012-01-04 12:27:21.6",37704160.00,3.01,-1.42,-1.07,28.27,0.00,14.90
"2012-01-04 12:27:21.65",37704161.00,2.72,-1.34,-0.86,28.14,0.00,14.90
"2012-01-04 12:27:21.7",37704162.00,2.59,-1.11,-0.67,28.09,0.00,14.90
"2012-01-04 12:27:21.75",37704163.00,3.04,-1.02,-0.40,28.17,0.00,14.90
"2012-01-04 12:27:21.8",37704164.00,2.92,-0.99,-0.33,27.93,0.00,14.90
"2012-01-04 12:27:21.85",37704165.00,3.17,-0.78,-0.56,28.06,0.00,14.90
"2012-01-04 12:27:21.9",37704166.00,3.10,-0.86,-0.59,28.02,0.00,14.90
