"TOA5","42214","CR1000","42214","CR1000.Std.22","CPU:MAIZ_PIPE_SLOWSEQ_visto_corto.CR1","14486","Table2"
"TIMESTAMP","RECORD","u","v","w","Tsonica","coderr","vol"
"TS","RN","m/s","m/s","m/s","Deg C","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-01-04 11:46:24.4",37655198.00,2.16,-3.37,-0.15,27.22,0.00,15.00
"2012-01-04 11:46:24.45",37655199.00,1.80,-3.35,-0.49,27.27,0.00,15.00
"2012-01-04 11:46:24.5",37655200.00,2.16,-3.16,-0.76,27.35,0.00,15.00
"2012-01-04 11:46:24.55",37655201.00,1.96,-3.10,-1.08,27.35,0.00,15.00
"2012-01-04 11:46:24.6",37655202.00,2.15,-2.65,-0.88,27.37,0.00,15.00
"2012-01-04 11:46:24.65",37655203.00,1.98,-2.55,0.10,27.31,0.00,15.00
"2012-01-04 11:46:24.7",37655204.00,2.00,-2.39,0.29,27.22,0.00,15.00
"2012-01-04 11:46:24.75",37655205.00,2.38,-2.43,0.05,27.37,0.00,15.00
"2012-01-04 11:46:24.8",37655206.00,2.41,-2.40,-0.13,27.41,0.00,15.00
"2012-01-04 11:46:24.85",37655207.00,2.75,-2.27,-0.45,27.41,0.00,15.00
"2012-01-04 11:46:24.9",37655208.00,2.71,-2.72,-0.30,27.30,0.00,15.00
"2012-01-04 11:46:24.95",37655209.00,2.55,-2.98,0.00,27.35,0.00,15.00
"2012-01-04 11:46:25",37655210.00,2.43,-2.93,0.19,27.35,0.00,15.00
"2012-01-04 11:46:25.05",37655211.00,2.55,-3.28,0.47,27.26,0.00,15.00
"2012-01-04 11:46:25.1",37655212.00,2.80,-3.14,0.27,27.35,0.00,15.00
"2012-01-04 11:46:25.15",37655213.00,2.57,-3.30,0.13,27.43,0.00,15.00
"2012-01-04 11:46:25.2",37655214.00,2.28,-2.99,0.28,27.44,0.00,15.00
"2012-01-04 11:46:25.25",37655215.00,1.88,-3.32,0.40,27.44,0.00,15.00
"2012-01-04 11:46:25.3",37655216.00,1.84,-3.86,0.36,27.31,0.00,15.00
"2012-01-04 11:46:25.35",37655217.00,1.89,-3.69,0.21,27.33,0.00,15.00
"2012-01-04 11:46:25.4",37655218.00,1.64,-3.73,0.57,27.36,0.00,15.00
"2012-01-04 11:46:25.45",37655219.00,1.97,-3.73,0.82,27.35,0.00,15.00
"2012-01-04 11:46:25.5",37655220.00,1.83,-3.75,0.43,27.45,0.00,15.00
"2012-01-04 11:46:25.55",37655221.00,1.97,-3.58,0.42,27.40,0.00,15.00
"2012-01-04 11:46:25.6",37655222.00,1.94,-3.50,0.62,27.43,0.00,15.00
"2012-01-04 11:46:25.65",37655223.00,2.10,-3.46,0.67,27.43,0.00,15.00
"2012-01-04 11:46:25.7",37655224.00,2.42,-3.35,0.49,27.45,0.00,15.00
"2012-01-04 11:46:25.75",37655225.00,2.52,-3.03,0.02,27.56,0.00,15.00
"2012-01-04 11:46:25.8",37655226.00,2.86,-2.87,-0.85,27.71,0.00,15.00
"2012-01-04 11:46:25.85",37655227.00,3.20,-2.90,-0.94,27.57,0.00,15.00
"2012-01-04 11:46:25.9",37655228.00,3.24,-2.59,-0.53,27.83,0.00,15.00
"2012-01-04 11:46:25.95",37655229.00,2.78,-2.12,0.31,27.72,0.00,15.00
"2012-01-04 11:46:26",37655230.00,3.04,-2.34,0.21,27.61,0.00,15.00
"2012-01-04 11:46:26.05",37655231.00,3.40,-2.62,0.47,27.76,0.00,15.00
"2012-01-04 11:46:26.1",37655232.00,2.93,-2.45,-0.03,27.73,0.00,15.00
"2012-01-04 11:46:26.15",37655233.00,3.30,-2.85,-0.04,27.74,0.00,15.00
"2012-01-04 11:46:26.2",37655234.00,3.47,-3.53,-0.06,27.36,0.00,15.00
"2012-01-04 11:46:26.25",37655235.00,3.47,-3.58,-0.41,27.36,0.00,15.00
"2012-01-04 11:46:26.3",37655236.00,3.26,-3.77,-0.35,27.41,0.00,15.00
"2012-01-04 11:46:26.35",37655237.00,3.89,-3.45,-0.28,27.23,0.00,15.00
"2012-01-04 11:46:26.4",37655238.00,4.11,-3.27,-0.47,27.25,0.00,15.00
"2012-01-04 11:46:26.45",37655239.00,3.76,-3.15,-0.63,27.29,0.00,15.00
"2012-01-04 11:46:26.5",37655240.00,3.45,-2.52,-0.54,27.26,0.00,15.00
"2012-01-04 11:46:26.55",37655241.00,3.08,-2.33,-0.35,27.30,0.00,15.00
"2012-01-04 11:46:26.6",37655242.00,2.55,-2.54,0.10,27.32,0.00,15.00
"2012-01-04 11:46:26.65",37655243.00,2.16,-2.61,-0.39,27.35,0.00,15.00
