"TOA5","42214","CR1000","42214","CR1000.Std.22","CPU:MAIZ_PIPE_SLOWSEQ_visto_corto.CR1","14486","Table2"
"TIMESTAMP","RECORD","u","v","w","Tsonica","coderr","vol"
"TS","RN","m/s","m/s","m/s","Deg C","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-01-04 11:00:00.05",37599719.00,0.89,-4.04,-0.42,26.05,0.00,15.10
"2012-01-04 11:00:00.1",37599720.00,1.02,-4.31,-0.56,26.14,0.00,15.10
"2012-01-04 11:00:00.15",37599721.00,0.50,-4.46,-0.88,26.17,0.00,15.10
"2012-01-04 11:00:00.2",37599722.00,0.76,-4.59,-0.34,26.22,0.00,15.10
"2012-01-04 11:00:00.25",37599723.00,0.68,-4.33,-0.41,26.28,0.00,15.10
"2012-01-04 11:00:00.3",37599724.00,0.81,-4.24,-0.23,26.31,0.00,15.10
"2012-01-04 11:00:00.35",37599725.00,1.07,-4.23,-0.28,26.36,0.00,15.10
"2012-01-04 11:00:00.4",37599726.00,1.17,-4.48,-0.33,26.53,0.00,15.10
"2012-01-04 11:00:00.45",37599727.00,0.49,-4.58,-0.09,26.23,0.00,15.10
"2012-01-04 11:00:00.5",37599728.00,0.53,-4.22,-0.08,25.92,0.00,15.10
"2012-01-04 11:00:00.55",37599729.00,0.50,-4.15,0.46,25.73,0.00,15.10
"2012-01-04 11:00:00.6",37599730.00,0.18,-3.64,0.46,25.78,0.00,15.10
"2012-01-04 11:00:00.65",37599731.00,0.28,-4.06,-0.28,25.81,0.00,15.10
"2012-01-04 11:00:00.7",37599732.00,0.31,-4.08,-0.45,26.00,0.00,15.10
"2012-01-04 11:00:00.75",37599733.00,0.48,-4.65,-0.60,25.27,0.00,15.10
"2012-01-04 11:00:00.8",37599734.00,0.49,-5.02,-0.71,24.89,0.00,15.10
"2012-01-04 11:00:00.85",37599735.00,0.55,-4.76,-0.69,24.55,0.00,15.10
"2012-01-04 11:00:00.9",37599736.00,0.44,-4.77,-0.77,24.46,0.00,15.10
"2012-01-04 11:00:00.95",37599737.00,0.59,-4.68,-0.90,24.63,0.00,15.10
"2012-01-04 11:00:01",37599738.00,0.57,-4.84,-0.80,24.48,0.00,15.10
"2012-01-04 11:00:01.05",37599739.00,0.45,-4.75,-0.73,24.58,0.00,15.10
"2012-01-04 11:00:01.1",37599740.00,0.39,-4.48,-0.82,24.68,0.00,15.10
"2012-01-04 11:00:01.15",37599741.00,0.46,-4.49,-0.97,24.76,0.00,15.10
"2012-01-04 11:00:01.2",37599742.00,0.46,-4.49,-0.97,24.76,0.00,15.10
"2012-01-04 11:00:01.25",37599743.00,0.31,-4.33,-0.88,24.73,0.00,15.10
"2012-01-04 11:00:01.3",37599744.00,0.26,-4.44,-0.90,24.88,0.00,15.10
"2012-01-04 11:00:01.35",37599745.00,0.15,-4.54,-1.13,24.81,0.00,15.10
"2012-01-04 11:00:01.4",37599746.00,0.11,-4.56,-1.26,24.81,0.00,15.10
"2012-01-04 11:00:01.45",37599747.00,-0.22,-4.79,-1.29,24.94,0.00,15.10
"2012-01-04 11:00:01.5",37599748.00,0.07,-5.08,-1.03,25.12,0.00,15.10
"2012-01-04 11:00:01.55",37599749.00,-0.17,-4.80,-1.20,25.06,0.00,15.10
"2012-01-04 11:00:01.6",37599750.00,-0.21,-4.66,-1.15,24.98,0.00,15.10
"2012-01-04 11:00:01.65",37599751.00,-0.36,-4.66,-1.21,25.13,0.00,15.10
"2012-01-04 11:00:01.7",37599752.00,-0.15,-4.84,-0.43,25.37,0.00,15.10
"2012-01-04 11:00:01.75",37599753.00,0.62,-4.35,-0.51,25.42,0.00,15.10
"2012-01-04 11:00:01.8",37599754.00,0.78,-4.35,-0.46,25.24,0.00,15.10
"2012-01-04 11:00:01.85",37599755.00,1.00,-4.87,-0.16,25.03,0.00,15.10
"2012-01-04 11:00:01.9",37599756.00,1.25,-5.03,-1.34,25.02,0.00,15.10
"2012-01-04 11:00:01.95",37599757.00,1.29,-5.29,-1.40,25.02,0.00,15.10
"2012-01-04 11:00:02",37599758.00,0.92,-4.84,-0.76,25.34,0.00,15.10
"2012-01-04 11:00:02.05",37599759.00,0.87,-4.84,-1.48,25.12,0.00,15.10
"2012-01-04 11:00:02.1",37599760.00,0.70,-5.03,-1.48,25.07,0.00,15.10
"2012-01-04 11:00:02.15",37599761.00,0.49,-5.26,-1.55,25.19,0.00,15.10
"2012-01-04 11:00:02.2",37599762.00,-0.39,-5.34,-1.27,25.16,0.00,15.10
"2012-01-04 11:00:02.25",37599763.00,-0.08,-5.20,-1.05,25.21,0.00,15.10
